Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.013	0.01	1	0.141	0.014	20	-	0.00050057	0.00076095	0.001232	0.0021323	0.0031677	0.0026941	0.0025995	0.0021661	0.0016509	0.00031864	0.00012263	0.00010719	0.000088566	0.000066595	0.000054931	0.000033028	0.000015018
130	40	0.094	0.01	1	0.05	0.014	20	-	0.00059554	0.00054186	0.00059255	0.00073496	0.00098494	0.00098782	0.0011563	0.0011913	0.0010488	0.00025339	0.0001159	0.000099949	0.000082499	0.000060422	0.000052494	0.000032728	0.000015012
130	40	0.094	0.01	1	0.02	0.014	20	-	0.00097591	0.0007761	0.0008096	0.00097673	0.0012677	0.0011998	0.0013528	0.0013448	0.0011471	0.00026001	0.00011655	0.00010033	0.000082699	0.000060506	0.000052544	0.000032743	0.000015014
130	40	0.094	0.01	1	0.09	0.014	20	-	0.00039788	0.00039068	0.00043337	0.00053762	0.0007304	0.00077854	0.00094848	0.0010198	0.00093407	0.00024518	0.00011504	0.000099451	0.000082233	0.000060311	0.000052428	0.000032708	0.000015009
130	40	0.033	0.01	1	0.02	0.014	20	-	0.0046086	0.0047765	0.0051654	0.0061723	0.0068092	0.0045821	0.0038497	0.0029067	0.0020361	0.00033421	0.00012329	0.0001067	0.000087723	0.000065277	0.000054483	0.000033003	0.000015025
130	40	0.06	0.01	1	0.05	0.014	20	-	0.0010178	0.00106	0.0012686	0.001697	0.0022383	0.0019319	0.0019851	0.0017872	0.0014221	0.00028724	0.0001195	0.00010337	0.000085211	0.000062984	0.000053556	0.000032873	0.000015018
130	40	0.094	0.01	1	0.141	0.014	20	-	0.00029371	0.00029902	0.00032972	0.00039818	0.00053169	0.00059605	0.00075148	0.00084558	0.00081083	0.00023565	0.00011396	0.000098822	0.000081897	0.000060169	0.000052344	0.000032683	0.000015004
130	40	0.06	0.01	1	0.09	0.014	20	-	0.00053946	0.00060438	0.0007592	0.0010706	0.0015175	0.0014421	0.0015813	0.0015056	0.0012542	0.00027621	0.00011858	0.00010284	0.000084928	0.000062863	0.000053487	0.000032852	0.000015014
130	40	0.013	0.01	1	0.05	0.014	20	-	0.0032247	0.0047192	0.0060365	0.007947	0.008927	0.0057826	0.0046113	0.0033058	0.0022441	0.00035547	0.00012492	0.00010853	0.000089272	0.000066906	0.000055096	0.000033074	0.000015025
130	40	0.033	0.01	1	0.09	0.014	20	-	0.00077512	0.0010575	0.0014975	0.0022664	0.0031045	0.0025701	0.0024914	0.0021068	0.0016117	0.00030849	0.00012157	0.0001057	0.000087198	0.000065049	0.000054359	0.000032968	0.000015019
